S,Q,I,Q,R,D
7718562.866155584,3342.146962810688,92.60502680862143,214.7108549778647,13.111023159763217,20.55997665250256
7717462.285799836,4362.304628247375,117.41890799429027,260.7990368066802,19.457509101095958,23.734118008380577
7716477.063755928,5145.565559478491,233.05066189455516,337.5752082554469,25.38186849323257,27.362945944671644
7715728.871099616,5550.9707272934975,427.4856882976909,475.4959005150913,30.92233924056644,32.25424503069429
7714844.737924791,6062.771184840671,576.4714136300558,683.6957880001183,38.9316867332707,39.39200199952171
7713831.250367954,6668.019781943218,701.3752146972172,946.1365664263603,50.09078645587579,49.12728251733053
7712687.272135941,7362.037704768442,815.4985180720915,1254.4301570007992,64.96944487626484,61.79203933519223
7711406.441706839,8145.488381964021,927.3020033609239,1604.9599629484594,84.08793642591871,77.7200084563801
7709978.625013838,9022.642381357053,1042.3614811388604,1997.1541793391582,107.95614956701405,97.2607947552417
7708390.730053869,10000.366623163383,1164.5560755122751,2432.4578686808854,137.0993880837875,120.78999068537564
7706627.128886995,11087.555752382157,1296.7923348208387,2913.7296369459877,172.0763237106654,148.71706513981528
7704669.834990915,12294.835245230543,1441.4480398224398,3444.8971832511993,213.49244948043128,181.49209129477987
7702498.524890174,13634.43345972095,1600.6469533244572,4030.7716307226406,262.01108643469297,219.61197961764591
7700090.457215748,15120.160780547616,1776.4318715381942,4676.960277571612,318.3632141662659,263.62664042351685
7697420.320680439,16767.458788166445,1970.8767850214952,5389.841465262973,383.3569250605813,314.145356044977
7694460.029320185,18593.497375996787,2186.162891441157,6176.579834649266,457.8870202360725,371.8435574865664
7691178.4753893595,20617.3068038186,2424.6334816296735,7045.1690763006645,542.9450977246933,437.47015116246126
7687541.245478418,22859.937140388876,2688.8368379908993,8004.49464387778,639.6303854049323,511.85551391565434
7683510.302519806,25344.640821236317,2981.562723202156,9064.412159895784,749.161515376009,595.9202604802196
7679043.634626397,28097.0759761381,3305.8758790291104,10235.83923036771,872.8894063538538,690.6848817104392
7674094.870726395,31145.52927316582,3665.1486437585722,11530.859599288546,1012.3114062741338,797.2803511132693
7668612.862460719,34521.157584340915,4063.093995163715,12962.839317710506,1169.0868425154104,916.9597995456342
7668612.804303741,27101.100499503842,6340.12051065758,17587.32196530488,1551.5038075217922,1053.148913266082
7668612.758647157,21275.927414395363,6219.577845754524,22838.686715677162,2063.5477152690282,1235.5016617422364
